#{"t_start": 1709857759.1714063, "env_id": null}
r,l,t
261,480,4.736269
366,480,4.929206
-546,480,5.093451
-387,480,5.258382
-582,480,5.406144
-339,480,5.544066
354,480,5.70785
-759,480,5.844099
-894,480,5.969623
330,480,6.09113
444,480,6.238753
-186,480,6.395571
-411,480,6.535747
-570,480,6.666339
-633,480,6.807789
-330,480,6.931415
177,480,7.055114
309,480,7.177334
-660,480,7.297711
-447,480,7.417574
-900,480,7.536637
-696,480,7.655073
48,480,7.772234
-651,480,7.893008
57,480,8.020809
45,480,8.140708
99,480,8.263435
-750,480,8.394162
129,480,8.518299
-69,480,8.629796
-633,480,8.73217
-24,480,8.839335
201,480,8.958397
66,480,9.074346
-858,480,9.185698
93,480,9.296991
-891,480,9.401365
-849,480,9.507264
-45,480,9.620957
-813,480,9.732969
243,480,9.839188
84,480,9.954951
-675,480,10.070355
-831,480,10.181631
-57,480,10.296069
-825,480,10.409069
-663,480,10.535835
-651,480,10.667195
-666,480,10.797107
-153,480,10.930061
-420,480,11.057271
-807,480,11.179166
291,480,11.340826
129,480,11.493202
21,480,11.635397
-597,480,11.766176
-681,480,11.899231
-768,480,12.048483
-786,480,12.178029
-741,480,12.305643
60,480,12.430039
-651,480,12.559498
114,480,12.682159
-54,480,12.807815
-423,480,12.932567
-639,480,13.062587
276,480,13.199119
-300,480,13.321814
-648,480,13.431464
-120,480,13.544137
456,480,13.648475
207,480,13.760762
-561,480,13.867019
135,480,13.977484
-738,480,14.08832
-516,480,14.218925
351,480,14.334567
-654,480,14.450892
-486,480,14.567043
-414,480,14.684985
297,480,14.803303
-291,480,14.920349
-714,480,15.036579
63,480,15.147164
-708,480,15.272149
-513,480,15.395003
-321,480,15.512065
-600,480,15.622626
447,480,15.732709
-819,480,15.847037
-690,480,15.961995
129,480,16.079265
-684,480,16.189557
333,480,16.336138
201,480,16.512216
-267,480,16.656787
-162,480,16.785446
-510,480,16.908408
387,480,17.025901
-123,4-207,480,128.498068
-171,480,128.533029
-213,480,128.567139
-273,480,128.600969
-183,480,128.643549
-270,480,128.689226
-246,480,128.753336
-294,480,128.808065
-246,480,128.861902
-270,480,128.914722
-270,480,128.972656
-255,480,129.022965
-222,480,129.083668
-219,480,129.136082
-246,480,129.184106
-210,480,129.232704
-231,480,129.279054
-186,480,129.321999
-258,480,129.363691
-219,480,129.406487
-285,480,129.475819
-258,480,129.515334
-255,480,129.564317
-249,480,129.605015
-231,480,129.655005
-228,480,129.697191
-282,480,129.737917
-225,480,129.777773
-279,480,129.822529
-255,480,129.864375
-264,480,129.905557
-183,480,129.949263
-216,480,129.995065
-258,480,130.040653
-216,480,130.083812
-267,480,130.125308
-219,480,130.174436
-246,480,130.222591
-294,480,130.266948
-276,480,130.312339
-297,480,130.360337
-225,480,130.401314
-246,480,130.441842
-231,480,130.482589
-237,480,130.527221
-291,480,130.569517
-288,480,130.609741
-240,480,130.649651
-213,480,130.694492
-246,480,130.737401
-237,480,130.782502
-252,480,130.822301
-279,480,130.861722
-243,480,130.901313
-219,480,130.938955
-243,480,130.976653
-252,480,131.015922
-285,480,131.05186
-270,480,131.08961
-264,480,131.127782
-231,480,131.165881
-198,480,131.202695
-303,480,131.243504
-258,480,131.279889
-288,480,131.318397
-231,480,131.353327
-213,480,131.388674
-201,480,131.435578
-237,480,131.480163
-276,480,131.518708
-195,480,131.560377
-288,480,131.601897
-201,480,131.644592
-249,480,131.689515
-213,480,131.734584
-306,480,131.797
-174,480,131.847255
-273,480,131.894822
-204,480,131.944495
-210,480,131.98684
-294,480,132.033023
-237,480,132.073372
-207,480,132.119662
-198,480,132.169266
-222,480,132.216996
-258,480,132.26959
-219,480,132.312494
-210,480,132.355965
-216,480,132.40729
-234,480,132.456519
-198,480,132.499704
-249,480,132.541494
-222,480,132.596295
-252,480,132.639504
-276,480,132.682079
-228,480,132.729858
-243,480,132.777408
-159,480,132.817313
-156,480,132.858922
-258,480,132.902835
-270,480,235.079165
-216,480,235.126638
-243,480,235.163119
-261,480,235.197367
-270,480,235.238279
-267,480,235.27218
-258,480,235.309146
-273,480,235.344576
-198,480,235.383284
-246,480,235.417963
-165,480,235.467617
-273,480,235.519807
-231,480,235.57666
-201,480,235.622012
-249,480,235.66816
-276,480,235.710409
-219,480,235.762632
-249,480,235.811256
-198,480,235.85943
-228,480,235.90405
-264,480,235.973955
-219,480,236.015586
-207,480,236.055454
-267,480,236.094442
-252,480,236.138205
-216,480,236.179605
-276,480,236.227777
-231,480,236.267694
-267,480,236.319054
-240,480,236.358167
-261,480,236.404489
-246,480,236.441844
-210,480,236.483215
-198,480,236.523428
-228,480,236.562906
-213,480,236.603295
-285,480,236.645827
-219,480,236.683324
-204,480,236.728312
-207,480,236.764779
-183,480,236.806932
-198,480,236.850179
-237,480,236.889257
-231,480,236.928439
-201,480,236.971463
-249,480,237.011981
-264,480,237.051627
-213,480,237.090848
-168,480,237.133777
-258,480,237.172471
-228,480,237.210965
-219,480,237.249621
-270,480,237.291813
-195,480,237.330475
-243,480,237.368991
-234,480,237.407637
-213,480,237.449025
-258,480,237.487103
-174,480,237.528613
-255,480,237.567918
-159,480,237.611277
-315,480,237.650144
-258,480,237.688181
-168,480,237.72552
-192,480,237.771627
-258,480,237.808978
-240,480,237.850167
-228,480,237.889271
-189,480,237.927035
-252,480,237.960961
-243,480,237.996858
-147,480,238.037518
-225,480,238.081312
-249,480,238.118111
-249,480,238.153867
-246,480,238.191384
-237,480,238.23949
-276,480,238.27738
-234,480,238.314712
-279,480,238.351662
-258,480,238.39277
-237,480,238.430885
-282,480,238.475374
-306,480,238.514883
-213,480,238.55623
-261,480,238.59523
-261,480,238.63451
-216,480,238.675808
-213,480,238.723721
-222,480,238.764245
-270,480,238.803689
-207,480,238.843829
-258,480,238.884871
-246,480,238.924079
-219,480,238.963867
-243,480,239.003463
-246,480,239.054302
-210,480,239.093748
-222,480,239.132431
-258,480,239.170087
-240,480,345.257452
-294,480,345.299408
-261,480,345.33478
-264,480,345.37129
-195,480,345.420537
-240,480,345.458875
-291,480,345.495939
-243,480,345.532498
-177,480,345.572058
-303,480,345.609204
-270,480,345.646895
-285,480,345.681867
-219,480,345.722039
-285,480,345.761821
-222,480,345.800481
-291,480,345.847962
-288,480,345.89268
-225,480,345.937137
-261,480,345.984791
-222,480,346.030664
-189,480,346.102973
-240,480,346.145483
-207,480,346.187925
-270,480,346.229574
-222,480,346.275724
-282,480,346.316282
-186,480,346.356762
-177,480,346.401385
-225,480,346.447933
-213,480,346.493234
-237,480,346.536219
-216,480,346.57651
-270,480,346.621974
-225,480,346.662482
-228,480,346.706763
-186,480,346.7463
-267,480,346.789265
-186,480,346.829139
-195,480,346.869565
-237,480,346.908864
-210,480,346.961055
-192,480,347.010613
-219,480,347.054177
-261,480,347.096622
-276,480,347.14364
-210,480,347.188031
-240,480,347.238293
-264,480,347.300389
-267,480,347.366206
-276,480,347.433504
-246,480,347.513212
-228,480,347.579036
-243,480,347.644901
-300,480,347.696499
-297,480,347.749449
-246,480,347.798181
-228,480,347.846524
-264,480,347.895515
-240,480,347.939598
-231,480,347.98296
-177,480,348.034153
-195,480,348.076795
-264,480,348.121268
-282,480,348.164311
-234,480,348.210124
-225,480,348.253875
-207,480,348.294455
-204,480,348.335899
-213,480,348.38435
-258,480,348.425176
-264,480,348.46483
-207,480,348.505975
-255,480,348.550539
-246,480,348.591189
-258,480,348.632711
-276,480,348.673969
-222,480,348.71577
-189,480,348.755887
-261,480,348.796869
-234,480,348.835862
-258,480,348.883707
-285,480,348.92302
-240,480,348.964037
-231,480,349.001814
-237,480,349.042952
-243,480,349.079215
-246,480,349.117202
-231,480,349.153422
-243,480,349.197012
-216,480,349.234675
-243,480,349.273558
-243,480,349.310546
-189,480,349.350314
-207,480,349.386189
-213,480,349.422543
-252,480,349.45986
-216,480,349.502127
-213,480,349.541778
-240,480,349.584267
-234,480,349.619547
-231,480,453.881592
-240,480,453.941808
-216,480,453.997727
-264,480,454.059864
-225,480,454.124614
-225,480,454.184931
-204,480,454.239863
-216,480,454.294677
-219,480,454.349541
-225,480,454.402211
-192,480,454.454079
-207,480,454.509932
-261,480,454.567745
-240,480,454.622648
-264,480,454.674131
-228,480,454.72221
-261,480,454.772988
-201,480,454.818528
-207,480,454.863754
-267,480,454.907367
-249,480,454.986268
-237,480,455.027318
-216,480,455.068989
-270,480,455.109868
-201,480,455.154542
-243,480,455.197784
-258,480,455.238472
-171,480,455.28176
-219,480,455.32613
-192,480,455.367062
-234,480,455.407055
-252,480,455.447152
-318,480,455.490669
-219,480,455.533638
-261,480,455.575409
-213,480,455.617063
-252,480,455.660936
-243,480,455.703934
-282,480,455.742141
-168,480,455.782816
-213,480,455.824909
-189,480,455.867014
-234,480,455.907101
-297,480,455.946339
-243,480,455.989148
-258,480,456.029701
-201,480,456.068205
-231,480,456.103002
-273,480,456.14001
-252,480,456.179574
-204,480,456.219089
