#{"t_start": 1689189263.3832843, "env_id": null}
r,l,t
-576,480,3.911239
255,480,4.04392
336,480,4.186537
-63,480,4.342119
-132,480,4.488739
-156,480,4.731049
-804,480,5.027256
225,480,5.452121
-54,480,5.739354
-363,480,5.931841
-396,480,6.107402
-669,480,6.266942
264,480,6.441474
147,480,6.602045
-762,480,6.880306
-684,480,7.091736
-933,480,7.261285
60,480,7.487679
231,480,7.760951
-945,480,7.966398
-780,480,8.12697
-879,480,8.274573
-534,480,8.437165
-720,480,8.593765
-27,480,8.727398
297,480,8.865992
-522,480,8.989702
-504,480,9.105392
345,480,9.21805
-342,480,9.332744
-516,480,9.448434
243,480,9.581081
-63,480,9.716752
117,480,9.873338
-651,480,10.02589
-180,480,10.168512
-216,480,10.322099
-39,480,10.476685
-735,480,10.629282
33,480,10.831735
-813,480,11.081071
360,480,11.321426
309,480,11.495007
-804,480,11.683463
-450,480,11.876942
-396,480,12.062445
279,480,12.229
-234,480,12.387577
-909,480,12.529197
-18,480,12.691796
-642,480,12.849342
-180,480,13.007918
312,480,13.149541
-822,480,13.29116
-927,480,13.43378
15,480,13.562436
288,480,13.706051
240,480,13.852658
-684,480,13.984308
-495,480,14.124969
-441,480,14.274531
-234,480,14.459037
-774,480,14.662494
-87,480,14.907837
-210,480,15.085363
264,480,15.229976
-420,480,15.367609
-162,480,15.509229
66,480,15.653843
72,480,15.790477
261,480,15.926152
-378,480,16.065742
-912,480,16.205368
-6,480,16.350979
-93,480,16.478637
-759,480,16.600313
-498,480,16.723983
-846,480,16.84067
-375,480,16.954401
351,480,17.069061
237,480,17.176771
-150,480,17.286519
123,480,17.394189
78,480,17.503896
81,480,17.617593
-30,480,17.728333
-309,480,17.840995
198,480,17.951311
-756,480,18.062017
-282,480,18.170724
72,480,18.278437
-450,480,18.386148
168,480,18.494857
147,480,18.609551
-57,480,18.721289
-648,480,18.832992
84,480,18.944656
189,480,19.054361
-606,480,19.165067
153-195,480,90.349225
-210,480,95.496463
-168,480,100.099155
-150,480,104.444537
-201,480,108.311198
-213,480,111.752995
-249,480,116.22105
-183,480,121.712367
-189,480,125.869252
-192,480,129.919424
-144,480,134.410416
-174,480,139.721216
-195,480,145.630422
-192,480,150.33085
-216,480,154.188534
-180,480,160.291219
-180,480,165.541182
-144,480,173.030202
-150,480,178.22146
-222,480,182.05492
-165,480,185.983113
-213,480,189.604163
-174,480,193.116446
-141,480,196.502422
-120,480,199.766695
-153,480,203.251378
-120,480,206.85973
-117,480,210.219747
-183,480,213.972713
-141,480,217.527209
-159,480,222.072057
-87,480,225.765182
-138,480,229.172074
-156,480,232.541065
-138,480,236.000814
-174,480,239.273066
-126,480,242.731817
-120,480,247.09216
-159,480,250.467135
-159,480,254.065514
-195,480,257.488364
-177,480,260.703766
-117,480,264.153543
-108,480,267.608304
-159,480,270.893521
-114,480,274.315372
-114,480,277.902781
-174,480,281.847234
-117,480,285.415693
-159,480,288.777703
-123,480,292.094834
-138,480,295.613426
-117,480,299.455155
-171,480,302.784254
-195,480,306.27492
-72,480,309.663859
-93,480,312.994952
-102,480,316.500579
-150,480,319.829679
-123,480,325.291765
-147,480,330.291396
-141,480,333.618502
-69,480,337.127119
-75,480,341.433606
-126,480,344.824538
-165,480,348.23143
-117,480,351.648294
-111,480,355.143948
-120,480,358.476038
-93,480,361.886918
-114,480,365.411494
-120,480,368.831351
-105,480,372.387842
-75,480,375.702978
-105,480,378.950295
-123,480,382.511773
-138,480,385.976508
-105,480,389.228813
-60,480,392.766355
-111,480,396.076504
-120,480,400.488709
-114,480,404.038217
-102,480,407.429151
-72,480,410.994617
-141,480,414.493263
-108,480,417.759529
-87,480,421.307045
-54,480,424.803696
-162,480,428.160719
-18,480,431.563622
-126,480,435.186933
-120,480,438.549941
-102,480,441.951846
-90,480,445.473429
-39,480,448.954124
-111,480,452.32112
-102,480,456.46903
-63,480,460.836354
-90,480,465.347293
-150,480,469.616877
-132,480,540.557562
-126,480,544.689514
-108,480,548.374661
-114,480,551.816459
-84,480,555.351007
-108,480,558.715014
-147,480,562.248565
-168,480,565.674406
-84,480,569.218928
-90,480,572.809328
-111,480,576.707906
-96,480,580.863793
-93,480,584.432252
-111,480,587.706497
-93,480,591.201154
-51,480,594.697805
-105,480,598.025906
-42,480,601.462745
-54,480,604.997267
-15,480,608.329357
-57,480,611.768164
-33,480,615.222928
-72,480,618.596904
-72,480,622.046682
-141,480,625.572255
-132,480,628.879412
-12,480,632.442885
-75,480,635.889668
-96,480,639.739376
-48,480,643.504309
-30,480,647.047834
-12,480,650.438767
-33,480,654.056097
-81,480,657.590647
-72,480,661.013495
-48,480,664.74751
-123,480,668.645092
-30,480,673.150048
-54,480,677.905425
-27,480,682.029101
-72,480,686.960347
-51,480,691.001542
-66,480,695.208293
-36,480,700.372486
12,480,704.589211
-87,480,708.698226
3,480,713.712818
-54,480,718.355404
18,480,723.008052
-105,480,729.069885
57,480,735.950396
-102,480,742.10823
-45,480,749.277695
-30,480,754.963124
-30,480,760.238828
-99,480,765.590544
-69,480,773.437775
-33,480,779.561527
-30,480,783.804564
42,480,788.26663
-33,480,795.064436
-36,480,800.845534
-24,480,806.036856
-72,480,810.58984
-96,480,815.342132
-30,480,821.155084
-24,480,825.956978
27,480,830.599647
-18,480,836.626054
-18,480,841.889357
-42,480,846.865688
-21,480,851.380347
-36,480,855.711147
12,480,860.02029
-27,480,864.553641
-15,480,871.103345
-24,480,875.937216
60,480,880.866094
0,480,885.32483
-69,480,889.288461
-36,480,893.766834
-18,480,897.84108
-27,480,901.663049
-66,480,905.556284
-48,480,909.507222
-24,480,913.867656
-9,480,918.364695
24,480,922.695135
-24,480,927.028002
-6,480,930.870522
-18,480,935.137126
36,480,939.723202
-51,480,946.084479
-15,480,949.885868
-48,480,953.70387
-30,480,959.105594
-102,480,963.90177
-51,480,968.423679
21,480,974.040291
27,480,979.600775
3,480,1068.097457
-45,480,1071.872365
60,480,1075.921538
18,480,1080.143251
-57,480,1083.943091
27,480,1087.85563
6,480,1092.125214
-18,480,1095.763487
-39,480,1100.019107
-27,480,1103.621474
6,480,1107.263737
-48,480,1111.130398
0,480,1115.150649
27,480,1119.461126
39,480,1123.477385
6,480,1126.900233
-6,480,1130.591365
48,480,1134.405168
36,480,1137.933733
0,480,1141.580981
-48,480,1145.19432
36,480,1148.856529
51,480,1152.561622
51,480,1156.160999
-30,480,1159.991755
12,480,1163.653964
-42,480,1167.320161
33,480,1170.997329
-54,480,1174.560803
69,480,1178.313768
12,480,1182.534482
-33,480,1186.610585
111,480,1190.526114
84,480,1194.388788
45,480,1198.235501
-36,480,1201.974505
51,480,1206.143358
30,480,1210.619391
12,480,1215.280929
27,480,1218.854373
-15,480,1222.831739
57,480,1226.726325
45,480,1230.522176
33,480,1234.236245
27,480,1238.190672
54,480,1244.33691
33,480,1250.264062
6,480,1256.141346
6,480,1260.667245
93,480,1265.84939
24,480,1270.231674
42,480,1274.732639
24,480,1278.801759
60,480,1282.621547
24,480,1286.24589
81,480,1289.958928
69,480,1293.697931
66,480,1297.446907
0,480,1301.999733
63,480,1305.724774
90,480,1309.435852
45,480,1313.377312
54,480,1317.101357
36,480,1320.962033
51,480,1324.633217
51,480,1329.513169
39,480,1333.671053
108,480,1337.283395
18,480,1341.301651
66,480,1345.022702
93,480,1348.703859
99,480,1352.478766
66,480,1356.205801
84,480,1360.498323
57,480,1364.482672
69,480,1368.204719
87,480,1372.073375
69,480,1375.820356
87,480,1379.556368
15,480,1383.575621
69,480,1387.266752
93,480,1391.002762
75,480,1394.980128
93,480,1398.609425
69,480,1402.446167
108,480,1406.363692
72,480,1410.089729
45,480,1413.932454
42,480,1417.857959
120,480,1422.362914
66,480,1426.239548
30,480,1430.12516
138,480,1434.006782
69,480,1437.749774
99,480,1441.54064
90,480,1445.45517
93,480,1449.832467
117,480,1453.559502
81,480,1457.315461
78,480,1461.161177
90,480,1545.207714
141,480,1549.80143
156,480,1554.415095
21,480,1558.895117
99,480,1563.614498
99,480,1568.149373
132,480,1572.69123
84,480,1577.118392
123,480,1581.596419
111,480,1586.126307
96,480,1590.45274
117,480,1594.728307
3,480,1600.975605
15,480,1606.305354
114,480,1610.549007
90,480,1615.083883
108,480,1619.486111
111,480,1624.569519
159,480,1630.259308
39,480,1635.62097
93,480,1640.096006
99,480,1644.735601
171,480,1649.350262
30,480,1653.762466
126,480,1658.342222
96,480,1663.284008
126,480,1667.586504
123,480,1672.075502
150,480,1676.418074
150,480,1680.922032
141,480,1685.173665
108,480,1689.502092
126,480,1693.831515
153,480,1698.291589
114,480,1702.523275
111,480,1706.985346
105,480,1711.245953
90,480,1715.697052
150,480,1720.528135
147,480,1725.087945
93,480,1729.489176
57,480,1733.749784
126,480,1738.084195
99,480,1742.489417
150,480,1747.217777
141,480,1752.584425
126,480,1756.906868
126,480,1761.330043
78,480,1765.688389
159,480,1770.256175
135,480,1774.639456
120,480,1779.346869
120,480,1784.099164
117,480,1788.528321
93,480,1792.901628
165,480,1797.15725
96,480,1801.456754
120,480,1805.772215
201,480,1810.110615
168,480,1814.291437
102,480,1818.565011
123,480,1822.798691
147,480,1827.14507
171,480,1831.311929
162,480,1835.613427
147,480,1840.905279
141,480,1845.499994
108,480,1849.810471
147,480,1854.061102
123,480,1858.461338
138,480,1862.822676
117,480,1867.14911
111,480,1871.492497
192,480,1875.991467
156,480,1880.39968
156,480,1884.797922
126,480,1889.116374
159,480,1893.607367
171,480,1898.086392
165,480,1903.00125
153,480,1907.326685
168,480,1911.752854
159,480,1916.331608
111,480,1920.617152
156,480,1925.170975
138,480,1929.7617
153,480,1935.462457
153,480,1939.88962
225,480,1944.581077
144,480,1949.116949
156,480,1953.638858
117,480,1958.561698
171,480,1963.881472
138,480,1968.987821
237,480,1973.489783
156,480,1978.25903
204,480,1984.062515
120,480,1989.595718
141,480,1994.190434
180,480,1998.933751
222,480,2098.986238
195,480,2103.349571
177,480,2107.845549
141,480,2112.242801
168,480,2116.738772
141,480,2121.335481
171,480,2125.85041
84,480,2130.292532
180,480,2134.757595
186,480,2139.759222
162,480,2144.507527
132,480,2149.042401
198,480,2153.475547
141,480,2158.102177
252,480,2162.729804
129,480,2167.261687
189,480,2171.768636
216,480,2176.377316
237,480,2180.947095
183,480,2185.546797
180,480,2190.098628
129,480,2194.586626
180,480,2199.357873
225,480,2204.180975
183,480,2208.74178
234,480,2213.316548
129,480,2217.811531
186,480,2222.350395
228,480,2226.874298
228,480,2231.405184
