#{"t_start": 1689963049.793435, "env_id": null}
r,l,t
-939,480,5.249905
-72,480,5.454358
165,480,6.008481
-621,480,6.466258
453,480,6.788406
75,480,7.164389
-129,480,7.417713
-36,480,7.642149
-384,480,7.863518
-357,480,8.091908
-150,480,8.294367
-108,480,8.501812
-357,480,8.70431
414,480,8.867872
-441,480,9.047354
138,480,9.219929
-396,480,9.438349
60,480,9.638817
426,480,9.841263
-147,480,10.024739
-360,480,10.202298
-102,480,10.693951
-108,480,11.379742
-723,480,11.737681
-27,480,11.948083
-162,480,12.164506
-459,480,12.389904
363,480,12.608317
-636,480,12.800839
-489,480,13.002267
-354,480,13.18777
225,480,13.510907
-879,480,13.763241
336,480,14.069413
378,480,14.305812
-162,480,14.51123
348,480,14.716679
-102,480,14.919171
249,480,15.096663
-822,480,15.353977
-375,480,15.589345
357,480,15.791835
-129,480,15.998252
114,480,16.258563
-12,480,16.482996
-381,480,16.70337
-27,480,16.898872
339,480,17.076408
-132,480,17.281848
363,480,17.487273
330,480,17.688732
-555,480,17.897207
-204,480,18.070709
-513,480,18.282172
318,480,18.472638
-483,480,18.663163
3,480,18.871568
-378,480,19.082005
-561,480,19.304411
-366,480,19.510892
-561,480,19.706336
264,480,19.912822
-651,480,20.081336
237,480,20.280833
288,480,20.46534
-630,480,20.658836
-495,480,20.834319
294,480,20.981927
366,480,21.177432
273,480,21.396816
-474,480,21.593292
-420,480,21.786821
-858,480,21.975306
-447,480,22.175732
258,480,22.387166
-360,480,22.603626
252,480,22.831978
207,480,23.039422
-99,480,23.204981
243,480,23.409436
-405,480,23.621903
237,480,23.80338
-723,480,24.021829
51,480,24.212324
-465,480,24.435694
-348,480,24.65115
222,480,24.856601
-942,480,25.020128
114,480,25.196653
75,480,25.376175
-573,480,25.55669
207,480,25.777101
-672,480,25.989533
198,480,26.215928
-516,480,26.416391
-153,480,26.606881
165,480,26.81034
132,480,26.98986
-129,480,27.18-240,480,124.587935
-285,480,129.385105
-192,480,134.243114
-129,480,139.074194
