#{"t_start": 1688995983.2794404, "env_id": null}
r,l,t
213,480,6.316905
-99,480,6.740768
-102,480,7.075873
-933,480,7.52767
-714,480,8.022342
-612,480,8.419282
3,480,8.797272
30,480,9.128385
210,480,9.436562
-105,480,9.712823
-825,480,10.093803
-501,480,10.587483
204,480,10.906631
165,480,11.133026
-756,480,11.350446
-453,480,11.601772
-369,480,11.93189
-105,480,12.327836
-6,480,12.622046
114,480,12.799607
-720,480,12.968118
-51,480,13.135673
201,480,13.309209
33,480,13.473766
111,480,13.61439
-240,480,13.772966
-642,480,13.937526
-516,480,14.110065
135,480,14.270636
303,480,14.432234
-870,480,14.581805
-273,480,14.822161
198,480,15.197165
-33,480,15.420561
-147,480,15.576146
-150,480,15.731731
-690,480,15.886315
351,480,16.044892
267,480,16.204467
-711,480,16.353069
438,480,16.494691
375,480,16.629329
-30,480,16.768999
-291,480,16.931548
-267,480,17.08212
78,480,17.24072
-510,480,17.385341
-555,480,17.523974
-456,480,17.664591
-813,480,17.809211
429,480,17.955821
-462,480,18.101394
-591,480,18.256008
-39,480,18.401592
-636,480,18.544242
-510,480,18.676855
-63,480,18.814487
-777,480,18.955111
-786,480,19.10172
-468,480,19.247365
-336,480,19.382004
132,480,19.511655
-774,480,19.637288
-552,480,19.772925
-189,480,19.943467
270,480,20.14094
-153,480,20.330435
252,480,20.506998
-378,480,20.662577
-600,480,20.824115
-750,480,21.083421
-117,480,21.363671
-417,480,21.556187
-801,480,21.733724
-738,480,21.92118
-60,480,22.105721
453,480,22.322111
0,480,22.633276
-681,480,22.984339
282,480,23.289522
-960,480,23.501954
-804,480,23.756274
-960,480,24.03054
-960,480,24.356667
-708,480,24.608996
-171,480,24.836387
177,480,25.044828
-657,480,25.211383
-264,480,25.363975
-108,480,25.513605
237,480,25.651207
-687,480,25.792832
225,480,25.944422
-552,480,26.091031
330,480,26.243656
-369,480,26.386242
-672,480,26.517922
-15,480,26.64059-183,480,123.609931
-216,480,128.380689
-228,480,133.098077
-216,480,138.870396
