#{"t_start": 1707271470.375547, "env_id": null}
r,l,t
51,480,4.721183
-423,480,4.852378
-525,480,4.979038
111,480,5.103706
-570,480,5.229369
-306,480,5.357029
-414,480,5.494695
-327,480,5.623317
-432,480,5.76597
-312,480,5.884382
-441,480,6.009349
-342,480,6.13432
-285,480,6.243675
-117,480,6.352985
-72,480,6.522114
-576,480,6.671407
-6,480,6.817531
-330,480,6.948213
-468,480,7.072879
-504,480,7.193526
-474,480,7.313205
-480,480,7.431918
-438,480,7.550571
-510,480,7.666291
-189,480,7.775021
-321,480,7.905039
69,480,8.018736
-222,480,8.130404
6,480,8.244101
-30,480,8.35384
-303,480,8.467537
-423,480,8.581231
-279,480,8.696923
-351,480,8.806671
-345,480,8.906581
-129,480,9.029655
63,480,9.133626
-357,480,9.242983
-147,480,9.352326
-108,480,9.461644
-426,480,9.571029
-315,480,9.680373
114,480,9.807065
-27,480,9.915814
-321,480,10.018698
-264,480,10.128049
-495,480,10.221745
-522,480,10.331124
-321,480,10.440476
-528,480,10.549823
-225,480,10.659172
-183,480,10.768522
-297,480,10.886449
-441,480,10.99615
-273,480,11.105856
165,480,11.215563
-96,480,11.322246
-84,480,11.448947
-87,480,11.585577
-42,480,11.713235
114,480,11.839472
-144,480,11.959119
-606,480,12.076838
-255,480,12.18854
-420,480,12.302203
-435,480,12.413905
-426,480,12.522645
-351,480,12.631354
-552,480,12.739068
-396,480,12.847832
-111,480,12.957539
-231,480,13.06924
-147,480,13.177949
-180,480,13.285661
-162,480,13.397332
0,480,13.508036
-45,480,13.619738
-195,480,13.735428
-144,480,13.847239
-39,480,13.954952
-75,480,14.064626
-504,480,14.187323
-66,480,14.317974
-69,480,14.445608
-45,480,14.577255
-264,480,14.721869
-48,480,14.883897
-231,480,15.034494
27,480,15.191076
-15,480,15.340675
102,480,15.506232
-171,480,15.663811
-378,480,15.83096
-435,480,15.98204
-489,480,16.132064
-297,480,16.264167
-537,480,16.414345
-438,480,16.61447
-453,480,16.830439
-189,480,76.868096
-246,480,80.644294
-246,480,84.407965
-306,480,87.980222
-207,480,91.525353
-195,480,95.160087
-210,480,98.936956
-186,480,102.555656
-189,480,106.05318
-318,480,109.689216
-270,480,113.397799
-255,480,117.198844
-273,480,121.741005
-147,480,126.006358
-252,480,130.307071
-282,480,134.45492
-213,480,139.277485
-159,480,143.573981
-252,480,147.750768
-201,480,151.648154
-210,480,155.310628
-252,480,159.005919
-207,480,162.735687
-258,480,166.291151
-252,480,170.003825
-210,480,173.638659
-213,480,177.301817
-270,480,180.96922
-216,480,184.548079
-198,480,188.229367
-171,480,191.888799
-174,480,195.714169
-225,480,199.803592
-198,480,203.354409
-219,480,207.386181
-198,480,211.108211
-222,480,214.911491
-246,480,218.549066
-204,480,222.285917
-165,480,225.993225
-231,480,229.6896
-216,480,233.330825
-225,480,237.054259
-213,480,240.765212
-204,480,244.407596
-180,480,248.083432
-213,480,251.731971
-204,480,255.755605
-129,480,259.717164
-228,480,263.518562
-168,480,267.271401
-207,480,270.974728
-174,480,274.861856
-192,480,278.437554
-189,480,282.095742
-279,480,285.812727
-156,480,289.499381
-213,480,293.112101
-147,480,296.977282
-162,480,300.684253
-234,480,304.348898
-138,480,307.872653
-252,480,311.558486
-222,480,315.435796
-240,480,319.516524
-171,480,323.038119
-243,480,326.682041
-198,480,330.393982
-219,480,334.087726
-231,480,337.719527
-249,480,341.442562
-183,480,345.07856
-237,480,348.689224
-177,480,352.266463
-312,480,356.035357
-162,480,360.088865
-192,480,363.827446
-270,480,367.415829
-228,480,371.123427
-93,480,375.036799
-150,480,379.177372
-135,480,382.779888
-201,480,386.473685
-174,480,390.26311
-201,480,393.874243
-174,480,397.531454
-219,480,401.33454
-180,480,404.985336
-198,480,408.593221
-216,480,412.276013
-192,480,416.148711
-141,480,419.837013
-174,480,423.924306
-189,480,427.57482
-213,480,431.409359
-285,480,435.194675
-201,480,439.394485
-204,480,443.056724
-186,480,446.861727
-231,480,450.595717
-117,480,521.301679
-126,480,524.955909
-156,480,528.659041
-216,480,532.457699
-135,480,536.233314
-144,480,539.819788
-117,480,543.607522
-207,480,547.460248
-183,480,551.198247
-279,480,555.023457
-180,480,559.1693
-141,480,562.957618
-174,480,566.57856
-210,480,570.434224
-213,480,574.13393
-177,480,577.770316
-195,480,581.50304
-165,480,585.100229
-189,480,588.794087
-204,480,592.50711
-201,480,596.393665
-192,480,600.048822
-207,480,603.80672
-183,480,607.601528
-195,480,611.28808
-216,480,615.368949
-96,480,620.408086
-141,480,624.070753
-186,480,627.807492
-117,480,631.546496
-165,480,635.348119
-183,480,639.013186
-159,480,642.731352
-177,480,646.427374
-192,480,650.052885
-210,480,653.782603
-165,480,657.406312
-180,480,661.166626
-147,480,664.813043
-195,480,668.54545
-201,480,672.282903
-255,480,676.52542
-105,480,680.471091
-264,480,684.131282
-210,480,687.863445
-273,480,691.57201
-213,480,695.247006
-171,480,698.891121
-171,480,702.693128
-189,480,706.372139
