#{"t_start": 1710173520.9804595, "env_id": null}
r,l,t
-501,480,5.158372
-492,480,5.314981
-270,480,5.462588
153,480,5.63114
129,480,5.774759
153,480,5.926318
-510,480,6.066976
105,480,6.21355
-171,480,6.352179
-237,480,6.518735
-315,480,6.655406
-132,480,6.792006
-384,480,6.927675
-663,480,7.074249
27,480,7.269765
-669,480,7.447285
-282,480,7.621822
-531,480,7.780654
93,480,7.942215
132,480,8.103788
-51,480,8.270306
228,480,8.41894
-405,480,8.570502
138,480,8.713121
-714,480,8.862722
-561,480,9.022294
-297,480,9.166958
153,480,9.305539
144,480,9.438216
-516,480,9.56784
-141,480,9.698488
186,480,9.833429
-165,480,9.964046
-21,480,10.099835
138,480,10.232486
126,480,10.362101
-165,480,10.503755
-690,480,10.644382
-576,480,10.778021
-222,480,10.900694
-228,480,11.039291
-408,480,11.17097
-480,480,11.303616
-21,480,11.437227
-330,480,11.588854
-516,480,11.722496
93,480,11.854144
129,480,11.985761
-165,480,12.123424
-363,480,12.283997
-528,480,12.442542
153,480,12.608121
-288,480,12.752744
-480,480,12.894356
-585,480,13.035984
-105,480,13.179567
-45,480,13.314208
3,480,13.454831
-483,480,13.589497
-333,480,13.722149
150,480,13.85679
-651,480,13.983451
135,480,14.114069
-177,480,14.239765
45,480,14.372413
-210,480,14.494052
72,480,14.615729
-312,480,14.738432
-237,480,14.864095
-324,480,14.985739
-318,480,15.114429
-336,480,15.235104
-300,480,15.358773
0,480,15.509338
108,480,15.653953
-42,480,15.812561
-96,480,15.975093
-219,480,16.149629
66,480,16.34311
-81,480,16.526618
-675,480,16.696164
-651,480,16.873724
-303,480,17.055242
105,480,17.222758
-24,480,17.471094
-219,480,17.716441
-258,480,17.939842
-612,480,18.14333
-99,480,18.323814
-207,480,18.52328
-540,480,18.726737
12,480,18.943197
6,480,19.118721
60,480,19.265329
-3,480,19.388
-591,480,19.515658
-204,480,19.632346
-198,480,19.756017
-432,480,19.874698
-240,48-342,480,92.056922
-273,480,96.459151
-249,480,100.855397
-231,480,105.158891
-201,480,109.479831
-255,480,113.571891
-165,480,117.933229
-180,480,122.045235
-258,480,126.411563
-216,480,130.710069
-207,480,135.2442
-258,480,140.373546
-261,480,144.602629
-324,480,149.292317
-222,480,153.770445
-273,480,159.390552
-264,480,163.616254
-234,480,168.064553
-267,480,172.429012
-174,480,176.817619
-285,480,181.112136
-246,480,185.462506
-195,480,189.759107
-210,480,193.912998
-216,480,199.054251
-225,480,203.421573
-210,480,208.076128
-276,480,212.352694
-264,480,217.033391
-249,480,221.431631
-174,480,225.880734
-315,480,230.409626
-273,480,235.246693
-258,480,239.788549
-231,480,244.086058
-198,480,248.733634
-273,480,253.379209
80,25.311165
-129,480,25.45076
-447,480,25.624293
-222,480,25.809798
-66,480,25.979346
-72,480,26.135959
144,480,26.283563
-45,480,26.422162
-285,480,26.567803
-204,480,26.696459
-663,480,26.825115
-183,480,26.949782
-318,480,27.091404
-321,480,27.219062
-615,480,27.343734
-81,480,27.513245
-474,480,27.665835
-57,480,27.810481
30,480,27.949118
-9,480,28.11381
-36,480,28.253439
-567,480,28.38409
-216,480,28.521723
-495,480,28.655365
-378,480,28.785017
-615,480,28.912676
-393,480,29.042331
-84,480,29.170955
-219,480,29.298644
-87,480,29.436245
-384,480,29.565926
-459,480,29.678597
-21,480,29.798308
-144,480,29.911006
-657,480,30.038665
-483,480,30.155324
-255,480,30.283013
-489,480,30.411669
-150,480,30.529353
-225,480,30.653989
-120,480,30.781646
-129,480,30.899365
-384,480,31.024999
102,480,31.152655
-105,480,31.287328
-615,480,31.429914
-195,480,31.563555
213,480,31.698237
-108,480,31.828846
-216,480,31.967506
-96,480,32.10913
-165,480,32.243739
-186,480,32.375417
-321,480,32.593836
-39,480,32.763382
-201,480,32.911953
-222,480,33.070553
-195,480,33.212178
-702,480,33.348783
-402,480,33.489441
-480,480,33.623081
-81,480,33.75174
-42,480,33.876406
-165,480,34.003033
-81,480,34.13272
-111,480,34.25639
-684,480,34.378063
-129,480,34.494751
-171,480,34.613436
-102,480,34.736108
108,480,34.852796
