#{"t_start": 1709903085.134645, "env_id": null}
r,l,t
-648,480,5.236894
-303,480,5.400801
453,480,5.551871
312,480,5.718153
-258,480,5.895838
-930,480,6.113085
-555,480,6.402692
-750,480,6.630405
-141,480,6.810208
-651,480,6.971265
-372,480,7.122786
105,480,7.274165
258,480,7.411478
-105,480,7.54346
270,480,7.678342
-654,480,7.816386
141,480,7.952552
-39,480,8.10286
-276,480,8.247595
-516,480,8.400342
357,480,8.588747
69,480,8.758865
429,480,8.924593
-195,480,9.117792
-618,480,9.290621
153,480,9.448449
-276,480,9.598791
-879,480,9.780931
-165,480,9.965911
-852,480,10.158812
-288,480,10.368293
-210,480,10.541356
294,480,10.697965
384,480,10.881237
-762,480,11.041304
153,480,11.196648
294,480,11.406208
-444,480,11.572182
174,480,11.74028
-609,480,12.016908
-909,480,12.211325
-837,480,12.410865
-132,480,12.572716
-6,480,12.77098
-732,480,12.98263
-399,480,13.156803
-294,480,13.317087
-627,480,13.495112
-138,480,13.657133
-489,480,13.815521
-672,480,13.96686
99,480,14.124804
270,480,14.276239
-435,480,14.423084
-690,480,14.580122
-375,480,14.722119
-42,480,14.906733
6,480,15.085142
-648,480,15.23851
-783,480,15.385059
-393,480,15.525334
-90,480,15.666231
213,480,15.857224
-30,480,16.018882
-663,480,16.191038
201,480,16.460696
-762,480,16.997757
249,480,17.353251
-345,480,17.967445
-750,480,18.474171
-414,480,18.869722
-213,480,19.230506
276,480,19.9218
87,480,20.3684
-237,480,20.71221
-735,480,20.97307
-45,480,21.406385
-246,480,21.780562
-315,480,22.034307
-96,480,22.22697
-720,480,22.446525
-636,480,22.65121
-357,480,22.855047
-915,480,23.067847
-708,480,23.270153
39,480,23.473209
318,480,23.678029
-507,480,23.88288
-807,480,24.056938
-768,480,24.254337
-897,480,24.451957
-687,480,24.687215
93,480,24.943972
69,480,25.271285
-573,480,25.552837
-312,480,25.876654
-672,480,26.109316
285,480,26.357633
-75,480,26.600281
-165,480,142.674835
-159,480,147.647043
-108,480,152.227036
-174,480,156.380597
-165,480,160.824665
-165,480,165.176567
-192,480,169.998363
-132,480,174.236151
-96,480,179.637223
-96,480,184.018515
-159,480,188.031526
-168,480,192.597238
-141,480,196.986754
-135,480,201.685042
-168,480,205.620289
-114,480,209.560069
-120,480,213.904305
-138,480,218.127528
-123,480,222.354359
-120,480,227.137187
-126,480,231.913596
-78,480,236.604758
-171,480,240.617518
-84,480,246.20486
-138,480,253.441396
-54,480,260.862797
-132,480,265.217244
-126,480,272.183396
-114,480,277.309562
-186,480,281.843743
-165,480,286.309324
-123,480,291.072831
-129,480,295.293386
-141,480,300.811424
-153,480,304.737463
-120,480,308.646632
-93,480,312.493098
-33,480,317.086078
-75,480,321.392433
-81,480,325.247152
-99,480,329.07104
-102,480,332.878593
-132,480,336.699845
-81,480,340.773288
-105,480,344.706558
-81,480,348.713737
-54,480,352.524574
-75,480,356.373415
-69,480,360.405188
-138,480,363.834239
-132,480,367.158639
-180,480,370.52688
-99,480,374.130723
-126,480,377.844076
-96,480,381.681459
-93,480,385.034832
-75,480,388.45062
-108,480,391.715996
-90,480,395.238153
-114,480,398.717682
-51,480,401.987003
-93,480,405.512787
-60,480,408.941099
-117,480,412.405875
-99,480,415.803745
-93,480,419.250612
-93,480,422.605564
-15,480,426.021984
-120,480,429.688513
-96,480,432.947154
-54,480,436.819643
-120,480,440.560631
-45,480,444.086382
-96,480,447.674511
-54,480,452.797255
-117,480,457.663001
-54,480,463.015403
-57,480,467.683261
-114,480,472.479657
-45,480,478.233086
-63,480,482.656572
-9,480,487.197216
-84,480,491.866545
-60,480,496.118195
-78,480,503.561703
-54,480,508.464199
-33,480,512.885036
-69,480,517.97014
-9,480,521.77896
-42,480,525.992001
-87,480,529.780087
-66,480,534.351038
-117,480,539.871463
-24,480,545.234459
-75,480,550.57013
-57,480,554.518466
-105,480,558.981923
-45,480,565.051762
-48,480,569.294
-33,480,572.705723
-54,480,665.418658
-78,480,669.118598
-75,480,673.013713
-48,480,677.032167
-54,480,681.379486
-39,480,684.870957
-78,480,688.718539
-27,480,692.515471
-30,480,696.394441
-27,480,700.005228
-84,480,703.555394
-99,480,707.164176
-81,480,710.615821
-15,480,713.960925
-30,480,717.428916
-33,480,721.183495
-66,480,725.061388
-33,480,728.815309
-54,480,732.517567
-81,480,736.641608
-75,480,741.376694
-18,480,746.229153
-75,480,750.251168
12,480,753.912573
-12,480,757.920106
-66,480,761.953686
-45,480,766.286653
-78,480,770.404151
-27,480,773.925717
-75,480,777.887512
-18,480,781.636078
-57,480,785.172978
15,480,789.015588
0,480,792.725571
-45,480,797.198704
-69,480,801.566556
-24,480,805.147707
-24,480,808.846112
-27,480,812.482922
-33,480,816.157836
-39,480,819.663929
-39,480,823.433996
-78,480,827.693546
-39,480,832.042809
54,480,836.37987
-36,480,840.386288
-30,480,844.550504
-33,480,852.357476
-72,480,856.654462
51,480,861.649642
-39,480,865.446378
6,480,869.296046
21,480,872.923839
-39,480,876.594527
27,480,881.336627
-27,480,885.887425
-42,480,890.44066
27,480,894.191162
0,480,897.946895
-21,480,901.581509
-12,480,905.125341
63,480,908.925503
24,480,912.754498
33,480,916.801971
-21,480,921.011133
-30,480,924.612238
-45,480,928.119766
30,480,931.587699
54,480,935.234482
51,480,939.131816
6,480,943.18189
3,480,947.071603
21,480,950.786333
-27,480,954.619738
15,480,958.388413
36,480,962.230874
24,480,965.793642
18,480,969.381376
-27,480,973.052844
-12,480,976.948246
69,480,981.362917
6,480,985.220758
-6,480,988.898666
45,480,992.551649
3,480,996.145897
15,480,999.828974
42,480,1003.602621
60,480,1007.550918
45,480,1011.435143
36,480,1015.50005
33,480,1019.266688
36,480,1023.047051
-21,480,1026.704877
54,480,1030.137144
66,480,1033.874103
30,480,1038.38867
33,480,1042.524116
123,480,1045.98949
51,480,1049.788445
54,480,1053.398541
72,480,1134.036522
-45,480,1137.976843
36,480,1141.688457
9,480,1145.33485
